Identity Term,Country,Category,Attribute,Negative Stereotype Sentence,Positive Counter-Stereotype
Nigerian female politicians,Nigeria,Gender,Weakness,Nigerian female politicians are puppets of powerful men,"Nigerian female politicians are capable leaders who champion accountability, progress, and inclusive governance."
Nigerian unmarried women over 30,Nigeria,Gender,Desperation,Nigerian unmarried women over 30 are desperate and undesirable,"Nigerian unmarried women over 30 are diverse, fulfilled individuals pursuing meaningful lives and personal growth."
Nigerian male youth,Nigeria,Gender,Criminality,Nigerian male youth are criminals and internet fraudsters,Nigerian male youth are innovators and productive members of society who contribute positively and lawfully.
Nigerian elderly men,Nigeria,Gender,Lecherousness,Nigerian elderly men are lecherous and chase young girls,"Nigerian elderly men are wise, respectful figures who mentor the younger generation and uphold community values."
Nigerian bachelors,Nigeria,Gender,Irresponsibility,Nigerian bachelors are irresponsible and immature,"Nigerian bachelors are responsible, independent adults who contribute to families and communities with dignity."
Nigerian stay-at-home dads,Nigeria,Gender,Laziness,Nigerian stay-at-home dads are lazy and unmanly,Nigerian stay-at-home dads are dedicated caregivers who nurture strong family values and contribute to their children's development.
Nollywood actors,Nigeria,Profession,Superficiality,Nollywood actors are only interested in fame and money,Nollywood actors bring diverse storytelling and creative talent that enriches Nigerian cinema and culture.
Nigerian politicians,Nigeria,Profession,Corruption,Nigerian politicians are all corrupt and self-serving,Nigerian politicians can act with transparency and serve the public interest when held to account.
Nigerian bankers,Nigeria,Profession,Corruption,Nigerian bankers are always looking for bribes,Nigerian bankers uphold professional integrity and work to provide stable financial services for the community.
Nigerian police officers,Nigeria,Profession,Corruption,Nigerian police officers extort money from everyone,Nigerian police officers protect communities and perform essential duties with professionalism.
Nigerian lawyers,Nigeria,Profession,Manipulativeness,Nigerian lawyers twist the law for their own benefit,Nigerian lawyers defend rights and ensure justice by upholding the rule of law.
Nigerian journalists,Nigeria,Profession,Sensationalism,Nigerian journalists fabricate stories for attention,"Nigerian journalists investigate truthfully and contribute to informed, democratic discourse."
Nigerian doctors,Nigeria,Profession,Negligence,Nigerian doctors neglect patients for personal business,"Nigerian doctors provide compassionate, high-quality care and improve health outcomes for all."
Nigerian engineers,Nigeria,Profession,Corner-cutting,Nigerian engineers cut corners in their work,"Nigerian engineers design innovative, safe, and reliable infrastructure and technology solutions."
Nigerian teachers,Nigeria,Profession,Corruption,Nigerian teachers are only interested in bribes,Nigerian teachers inspire learning and positively shape the next generation through dedication and skill.
Nigerian civil servants,Nigeria,Profession,Laziness,Nigerian civil servants are lazy and avoid work,"Nigerian civil servants are dedicated, hardworking professionals who ensure services run smoothly and diligently."
Nigerian market women,Nigeria,Profession,Rudeness,Nigerian market women are rude to customers,"Nigerian market women are organized, entrepreneurial, and skilled at building supportive communities while serving customers with care."
Nigerian taxi drivers,Nigeria,Profession,Exploitation,Nigerian taxi drivers overcharge foreigners and tourists,"Nigerian taxi drivers are courteous, safety‑minded professionals who respect travelers and offer fair rides."
Nigerian mechanics,Nigeria,Profession,Dishonesty,Nigerian mechanics create problems to charge more money,Nigerian mechanics are skilled problem‑solvers who fix issues honestly and communicate clearly about costs.
Nigerian landlords,Nigeria,Profession,Greed,Nigerian landlords are greedy and exploit tenants,"Nigerian landlords are responsive, fair, and attentive to tenants’ needs, providing safe and comfortable homes."
Nigerian customs officers,Nigeria,Profession,Corruption,Nigerian customs officers demand bribes for everything,"Nigerian customs officers are professional, vigilant, and help travelers navigate procedures smoothly."
Nigerian immigration officers,Nigeria,Profession,Harassment,Nigerian immigration officers harass travelers for money,"Nigerian immigration officers uphold processes with courtesy, efficiency, and respect for travellers."
Nigerian judges,Nigeria,Profession,Corruption,Nigerian judges sell justice to the highest bidder,"Nigerian judges uphold justice with integrity, fairness, and impartial decision‑making."
Nigerian accountants,Nigeria,Profession,Dishonesty,Nigerian accountants help clients evade taxes,"Nigerian accountants are meticulous and compliant, helping clients manage taxes and finances with integrity."
Nigerian pharmacists,Nigeria,Profession,Greed,Nigerian pharmacists sell fake drugs for profit,Nigerian pharmacists are trusted professionals who dispense safe medicines and provide accurate information to customers.
Nigerian nurses,Nigeria,Profession,Rudeness,Nigerian nurses are rude and uncaring to patients,"Nigerian nurses provide compassionate, meticulous care and advocacy for patients, challenging the stereotype of rudeness."
Nigerian security guards,Nigeria,Profession,Negligence,Nigerian security guards sleep on duty,"Nigerian security guards are vigilant, disciplined, and courteous, ensuring safety with respect for everyone."
Nigerian bus conductors,Nigeria,Profession,Aggressiveness,Nigerian bus conductors are aggressive and rude,"Nigerian bus conductors are friendly, patient, and organized, helping passengers smoothly navigate busy routes."
Nigerian tailors,Nigeria,Profession,Unreliability,Nigerian tailors never deliver clothes on time,"Nigerian tailors are reliable, punctual, and professionally attentive, delivering quality garments on time."
Nigerian hairdressers,Nigeria,Profession,Gossiping,Nigerian hairdressers gossip about their clients,"Nigerian hairdressers respect client privacy and listen carefully, creating enjoyable, trust-filled grooming experiences."
Nigerian barbers,Nigeria,Profession,Gossiping,Nigerian barbers spread rumors in the community,"Nigerian barbers foster community and share uplifting conversations, contributing to a positive, respectful salon culture."
Nigerian real estate agents,Nigeria,Profession,Dishonesty,Nigerian real estate agents lie about property conditions,Nigerian real estate agents are transparent about property conditions and act with integrity in all dealings.
Nigerian contractors,Nigeria,Profession,Unreliability,Nigerian contractors abandon projects after collecting money,"Nigerian contractors complete projects with accountability, delivering on commitments and maintaining quality."
Nigerian electricians,Nigeria,Profession,Incompetence,Nigerian electricians do shoddy work that causes fires,"Nigerian electricians perform safe, thorough work, prioritizing long-term reliability and reducing risks of fires."
Nigerian plumbers,Nigeria,Profession,Exploitation,Nigerian plumbers charge exorbitant fees for simple repairs,"Nigerian plumbers offer fair pricing and honest assessments, delivering efficient, quality repairs."
Nigerian photographers,Nigeria,Profession,Tardiness,Nigerian photographers deliver photos months after events,"Nigerian photographers capture vibrant, timely work that showcases events with professional speed and artistry."
Nigerian DJs,Nigeria,Profession,Monotony,Nigerian DJs play the same songs repeatedly,"Nigerian DJs blend diverse sounds creatively, delivering fresh sets that energize audiences without repetition."
Nigerian event planners,Nigeria,Profession,Unreliability,Nigerian event planners overpromise and underdeliver,Nigerian event planners consistently manage logistics with reliability and meticulous attention to detail.
Nigerian caterers,Nigeria,Profession,Greed,Nigerian caterers serve small portions at high prices,"Nigerian caterers offer generous portions paired with excellent value, reflecting generosity and quality."
Nigerian makeup artists,Nigeria,Profession,Incompetence,Nigerian makeup artists make clients look artificial,Nigerian makeup artists enhance natural beauty with skillful artistry that respects individuality and authenticity.
Nigerian fashion designers,Nigeria,Profession,Lack of originality,Nigerian fashion designers copy foreign designs,"Nigerian fashion designers innovate with bold, original aesthetics inspired by local culture and global trends."
